word	lemma
normalcy	normalcy
pocketbook	pocketbook
polenta	polenta
retiree	retiree
soundbite	soundbite
bagel	bagel
workday	workday
nightstand	nightstand
payday	payday
broiler	broiler
walleye	walleye
cofounder	cofounder
kilometer	kilometer
lawmaker	lawmaker
capitol	capitol
download	download
mammogram	mammogram
sex/nudity	sex/nudity
arugula	arugula
lockout	lockout
butte	butte
sailboat	sailboat
gurney	gurney
veggie	veggie
raccoon	raccoon
semifinal	semifinal
brisket	brisket
shootout	shootout
mountaintop	mountaintop
liter	liter
geek	geek
furor	furor
puck	puck
derailleur	derailleur
lasagna	lasagna
dumbbell	dumbbell
blogger	blogger
steelhead	steelhead
dunk	dunk
firestorm	firestorm
chemo	chemo
countertop	countertop
millimeter	millimeter
jalapeno	jalapeno
scrimmage	scrimmage
sat	sat
realtor	realtor
barbershop	barbershop
mesa	mesa
coworker	coworker
airfare	airfare
entryway	entryway
redistricting	redistricting
tailback	tailback
bipartisanship	bipartisanship
whiz	whiz
pita	pita
checkup	checkup
rusher	rusher
boomer	boomer
apnea	apnea
hardball	hardball
avatar	avatar
whitetail	whitetail
mailman	mailman
broadband	broadband
sorority	sorority
bighorn	bighorn
grizzly	grizzly
omelet	omelet
cornbread	cornbread
takeout	takeout
motherfucker	motherfucker
snowboarding	snowboarding
mormon	mormon
pullout	pullout
layoff	layoff
slugger	slugger
sagebrush	sagebrush
mammography	mammography
bio	bio
hangout	hangout
cougar	cougar
gobbler	gobbler
cheerleading	cheerleading
chipotle	chipotle
burlap	burlap
midsection	midsection
latte	latte
largemouth	largemouth
defenseman	defenseman
cossack	cossack
sneaker	sneaker
streetcar	streetcar
panhandle	panhandle
playbook	playbook
snowmobile	snowmobile
drivetrain	drivetrain
texting	texting
snowboard	snowboard
blacktop	blacktop
mesquite	mesquite
heft	heft
malware	malware
councilman	councilman
facedown	facedown
ruble	ruble
clothesline	clothesline
oncologist	oncologist
frat	frat
eatery	eatery
beeper	beeper
costar	costar
granola	granola
riverboat	riverboat
licorice	licorice
firewall	firewall
shutout	shutout
recliner	recliner
cantaloupe	cantaloupe
cobblestone	cobblestone
washcloth	washcloth
crawfish	crawfish
butternut	butternut
drywall	drywall
ahold	ahold
steakhouse	steakhouse
grammy	grammy
cottonwood	cottonwood
internist	internist
chowder	chowder
margarita	margarita
slaw	slaw
romaine	romaine
timeout	timeout
spinoff	spinoff
sellout	sellout
caseworker	caseworker
tarpon	tarpon
filet	filet
applesauce	applesauce
gator	gator
ballgame	ballgame
seafloor	seafloor
superhighway	superhighway
midmorning	midmorning
sandbox	sandbox
leadoff	leadoff
laundromat	laundromat
firefight	firefight
nonviolence	nonviolence
midafternoon	midafternoon
oxymoron	oxymoron
newsstand	newsstand
tux	tux
kudzu	kudzu
bandanna	bandanna
firehouse	firehouse
statehouse	statehouse
potluck	potluck
ecotourism	ecotourism
lakefront	lakefront
donut	donut
windbreaker	windbreaker
cutthroat	cutthroat
burrito	burrito
